,dateTime,stationName,tideValue
101,2021-09-20T00:30:00Z,Immingham,-1.53
102,2021-09-20T00:30:00Z,Cromer,-1.424
103,2021-09-20T00:30:00Z,Whitby,1.132
104,2021-09-20T00:30:00Z,Fishguard,-1.282
105,2021-09-20T00:30:00Z,Workington,2.339
106,2021-09-20T00:30:00Z,Port+Erin,1.284
107,2021-09-20T00:30:00Z,Harwich,1.159
108,2021-09-20T00:30:00Z,Barmouth,-0.987
109,2021-09-20T00:30:00Z,Newhaven,1.452
110,2021-09-20T00:30:00Z,Portrush,-0.738
111,2021-09-20T00:30:00Z,Sheerness,2.754
112,2021-09-20T00:30:00Z,Portpatrick,1.452
113,2021-09-20T00:30:00Z,Portsmouth,1.386
114,2021-09-20T00:30:00Z,Bournemouth,0.245
115,2021-09-20T00:45:00Z,Bangor,0.457
116,2021-09-20T00:45:00Z,Dover,1.577
117,2021-09-20T00:45:00Z,St+Marys,-0.498
118,2021-09-20T00:45:00Z,Lowestoft,-0.128
119,2021-09-20T00:45:00Z,Lerwick,0.177
120,2021-09-20T00:45:00Z,Newlyn,-0.562
121,2021-09-20T00:45:00Z,Milford+Haven,-2.27
122,2021-09-20T00:45:00Z,Aberdeen,2.033
123,2021-09-20T00:45:00Z,Weymouth,-0.526
124,2021-09-20T00:45:00Z,Ilfracombe,-2.645
125,2021-09-20T00:45:00Z,Kinlochbervie,-1.71
126,2021-09-20T00:45:00Z,Stornoway,-1.788
127,2021-09-20T00:45:00Z,Plymouth,-1.213
128,2021-09-20T00:45:00Z,Jersey,-4.036
129,2021-09-20T00:45:00Z,Tobermory,-1.07
130,2021-09-20T00:45:00Z,Ullapool,-1.743
131,2021-09-20T00:45:00Z,Newport,-4.818
132,2021-09-20T00:45:00Z,Heysham,1.839
133,2021-09-20T00:45:00Z,Wick,0.853
134,2021-09-20T00:45:00Z,Avonmouth+Portbury,-4.697
135,2021-09-20T00:45:00Z,Mumbles,-3.105
136,2021-09-20T00:45:00Z,Leith,2.274
137,2021-09-20T00:45:00Z,North+Shields,1.648
138,2021-09-20T00:45:00Z,Liverpool,1.571
139,2021-09-20T00:45:00Z,Holyhead,-0.16
140,2021-09-20T00:45:00Z,Millport,1.419
141,2021-09-20T00:45:00Z,Immingham,-1.234
142,2021-09-20T00:45:00Z,Cromer,-1.389
143,2021-09-20T00:45:00Z,Whitby,1.373
144,2021-09-20T00:45:00Z,Fishguard,-1.328
145,2021-09-20T00:45:00Z,Workington,1.967
146,2021-09-20T00:45:00Z,Port+Erin,1.01
147,2021-09-20T00:45:00Z,Harwich,0.972
148,2021-09-20T00:45:00Z,Barmouth,-1.108
149,2021-09-20T00:45:00Z,Newhaven,1.154
150,2021-09-20T00:45:00Z,Portrush,-0.715
151,2021-09-20T00:45:00Z,Sheerness,2.578
152,2021-09-20T00:45:00Z,Portsmouth,1.266
153,2021-09-20T00:45:00Z,Bournemouth,0.142
154,2021-09-20T00:30:00Z,Stornoway,-1.827
155,2021-09-20T00:30:00Z,Heysham,2.308
156,2021-09-20T00:30:00Z,Lerwick,0.3
157,2021-09-20T00:30:00Z,Ullapool,-1.726
158,2021-09-20T00:30:00Z,Liverpool,1.995
159,2021-09-20T01:00:00Z,Bangor,0.294
160,2021-09-20T01:00:00Z,Dover,1.314
161,2021-09-20T01:00:00Z,St+Marys,-0.221
162,2021-09-20T01:00:00Z,Lowestoft,-0.209
